NUM_START,NUM_END,NUM_LENGTH,NUM_SPECIAL,NUM_CATEGORY,NUM_SUB_CATEGORY,NUM_ALLOCATEE_OR_ASSIGNEE,NUM_REMARK
"46470000","46479999","8","","Mobile Service 流動服務","","Sun Mobile Limited 新移動通訊有限公司",""
"46480000","46489999","8","","Mobile Service 流動服務","","Multibyte Info Technology Limited 博元訊息科技有限公司",""
"46490000","46499999","8","","Mobile Service 流動服務","","CITIC Telecom International Limited 中信國際電訊有限公司",""
"46500000","46539999","8","","Mobile Service 流動服務","","China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司",""
"46540000","46589999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"46590000","46599999","8","","Mobile Service 流動服務","","Multibyte Info Technology Limited 博元訊息科技有限公司",""
"46600000","46649999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"46650000","46699999","8","","Mobile Service 流動服務","","** Spare - open for application 備用/供申請使用",""
"46700000","46779999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"46780000","46789999","8","","Mobile Service 流動服務","","Sun Mobile Limited 新移動通訊有限公司",""
"46790000","46799999","8","","Mobile Service 流動服務","","Sun Mobile Limited 新移動通訊有限公司",""
"46800000","46899999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"46900000","46989999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"46990000","46999999","8","","Mobile Service 流動服務","","South China Telecommunications (H.K.) Limited 中國南方電信(香港)有限公司",""
"47000000","47099999","8","","Mobile Service 流動服務","","Hutchison Telephone Company Limited 和記電話有限公司",""
"47100000","47199999","8","","Mobile Service 流動服務","","Hutchison Telephone Company Limited 和記電話有限公司",""
"47200000","47259999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"47260000","47399999","8","","Mobile Service 流動服務","","** Spare - open for application 備用/供申請使用",""
"47400000","47429999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"47430000","47449999","8","","Mobile Service 流動服務","","China Telecom Global Limited 中國電信國際有限公司",""
"47450000","47469999","8","","Mobile Service 流動服務","","** Spare - open for application 備用/供申請使用",""
"47470000","47479999","8","Y","Mobile Service 流動服務","","** Reserved 預留",""
"47480000","47489999","8","","Mobile Service 流動服務","","China Telecom Global Limited 中國電信國際有限公司",""
"47490000","47499999","8","","Mobile Service 流動服務","","** Spare - open for application 備用/供申請使用",""
"47500000","47599999","8","","Mobile Service 流動服務","","Hutchison Telephone Company Limited 和記電話有限公司",""
"47600000","47659999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"47660000","47999999","8","","Mobile Service 流動服務","","** Spare - open for application 備用/供申請使用",""
"480","480","<=12","","Others 其他","Network Number 網絡號碼","Hutchison Telephone Company Limited 和記電話有限公司",""
"48100000","48199999","8","","Mobile Service 流動服務","","** Spare 備用",""
"4820","4820","<=12","","Others 其他","Network Number 網絡號碼","** Spare - open for application 備用/供申請使用",""
"48210000","48299999","8","","Mobile Service 流動服務","","** Spare 備用",""
"4830","4833","<=12","","Others 其他","Network Number 網絡號碼","SmarTone Mobile Communications Limited 數碼通電訊有限公司",""
"4834","4835","<=12","","Others 其他","Network Number 網絡號碼","** Spare 備用",""
"4836","4839","<=12","","Others 其他","Network Number 網絡號碼","SmarTone Mobile Communications Limited 數碼通電訊有限公司",""
"4840","4843","<=12","Y","Others 其他","Network Number 網絡號碼","SmarTone Mobile Communications Limited 數碼通電訊有限公司",""
"4844","4845","<=12","Y","Others 其他","Network Number 網絡號碼","** Spare 備用",""
"4846","4849","<=12","Y","Others 其他","Network Number 網絡號碼","SmarTone Mobile Communications Limited 數碼通電訊有限公司",""
"4850","4854","<=12","","Others 其他","Network Number 網絡號碼","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"4855","4859","<=12","","Others 其他","Network Number 網絡號碼","** Spare 備用",""
"48600000","48699999","8","","Mobile Service 流動服務","","** Spare 備用",""
"487","487","<=12","","Others 其他","Network Number 網絡號碼","Hong Kong Telecommunications (HKT) Limited",""
"488","488","<=12","","Others 其他","Network Number 網絡號碼","Hong Kong Telecommunications (HKT) Limited",""
"48900000","48999999","8","","Mobile Service 流動服務","","** Spare 備用",""
"490","490","<=12","","Others 其他","Network Number 網絡號碼","Hong Kong Telecommunications (HKT) Limited",""
"4910","4913","<=12","","Others 其他","Network Number 網絡號碼","SmarTone Mobile Communications Limited 數碼通電訊有限公司",""
"4914","4915","<=12","","Others 其他","Network Number 網絡號碼","** Spare 備用",""
"4916","4919","<=12","","Others 其他","Network Number 網絡號碼","SmarTone Mobile Communications Limited 數碼通電訊有限公司",""
"4920","4922","<=12","","Others 其他","Network Number 網絡號碼","China-Hongkong Telecom Limited 中港通電訊有限公司",""
"49230000","49299999","8","","Mobile Service 流動服務","","** Spare 備用",""
"493","493","<=12","","Others 其他","Network Number 網絡號碼","Hutchison Telephone Company Limited 和記電話有限公司",""
"4940","4945","<=12","Y","Others 其他","Network Number 網絡號碼","CITIC Telecom International Limited 中信國際電訊有限公司",""
"4946","4949","<=12","Y","Others 其他","Network Number 網絡號碼","** Spare 備用",""
"4950","4951","<=12","","Others 其他","Network Number 網絡號碼","** Spare 備用",""
"49520000","49599999","8","","Mobile Service 流動服務","","** Spare 備用",""
"496","496","<=12","","Others 其他","Network Number 網絡號碼","Hong Kong Telecommunications (HKT) Limited",""
"497","497","<=12","","Others 其他","Network Number 網絡號碼","China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司",""
"49800000","49899999","8","","Mobile Service 流動服務","","** Spare 備用",""
"4990","4990","<=12","","Others 其他","Network Number 網絡號碼","Sun Mobile Limited 新移動通訊有限公司",""
"4991","4991","<=12","","Others 其他","Network Number 網絡號碼","TP Hong Kong Operations Limited",""
"4992","4992","<=12","","Others 其他","Network Number 網絡號碼","HuiYinBi Telecom (Hong Kong) Limited 回音壁電信(香港)有限公司",""
"4993","4993","<=12","","Others 其他","Network Number 網絡號碼","** Spare - open for application 備用/供申請使用",""
"4994","4994","<=12","","Others 其他","Network Number 網絡號碼","** Spare - open for application 備用/供申請使用",""
"4995","4995","<=12","","Others 其他","Network Number 網絡號碼","Multibyte Info Technology Limited 博元訊息科技有限公司",""
"4996-","4996-","<=12","","Others 其他","Network Number 網絡號碼","China Telecom Global Limited 中國電信國際有限公司",""
"4997-","4997-","<=12","","Others 其他","Network Number 網絡號碼","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"4998","4998","<=12","","Others 其他","Network Number 網絡號碼","** Spare - open for application 備用/供申請使用",""
"4999","4999","<=12","","Others 其他","Network Number 網絡號碼","** Spare - open for application 備用/供申請使用",""
"500","500","N/A","","Others 其他","Special Services 特別服務","** Reserved 預留",""
"501","504",">=3","","Others 其他","SMS/MMS 短訊/多媒體增值服務","** Self-managed by operators, see :  http://apps.ofca.gov.hk/apps/CodeAssign/content/code_list.asp","General Service 一般資訊"
"505","505",">=3","Y","Others 其他","SMS/MMS 短訊/多媒體增值服務","** Self-managed by operators, see : http://apps.ofca.gov.hk/apps/CodeAssign/content/code_list.asp","General Service 一般資訊"
"506","507",">=3","","Others 其他","SMS/MMS 短訊/多媒體增值服務","** Self-managed by operators, see : http://apps.ofca.gov.hk/apps/CodeAssign/content/code_list.asp","General Service 一般資訊"
"508","508",">=3","","Others 其他","SMS/MMS 短訊/多媒體增值服務","** Self-managed by operators, see : http://apps.ofca.gov.hk/apps/CodeAssign/content/code_list.asp","General Service 一般資訊"
"509","509",">=3","","Others 其他","SMS/MMS 短訊/多媒體增值服務","** Self-managed by operators (except 50-999-112-00), see : http://apps.ofca.gov.hk/apps/CodeAssign/content/code_list.asp  50-999-112-00: All Operators (Universally allocated) for Government use 所有營辦商  供政府使用  Optional CLI for Time-Critical Government SMS service 香港特別行政區政府緊急短訊服務 - 可選主叫號碼: Hong Kong Telecommunications (HKT) Limited - 50999991 Hutchison Telephone Company Limited 和記電話有限公司 - 50999993 PCCW Mobile HK Limited - 50999995 China Mobile HK Company Limited 中國移動香港電話有限公司 - 50999997 SmarTone Mobile Communications Limited 數碼通電訊有限公司 - 50999999","Special Information 特別資訊"
"51000000","51099999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"51100000","51199999","8","","Mobile Service 流動服務","","Sun Mobile Limited 新移動通訊有限公司",""
"51200000","51299999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"51300000","51399999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"51400000","51409999","8","","Mobile Service 流動服務","","Multibyte Info Technology Limited 博元訊息科技有限公司",""
"51410000","51419999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"51420000","51429999","8","","Mobile Service 流動服務","","China Telecom Global Limited 中國電信國際有限公司",""
"51430000","51439999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"51440000","51449999","8","","Mobile Service 流動服務","","** Spare - open for application 備用/供申請使用",""
"51450000","51489999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"51490000","51499999","8","","Mobile Service 流動服務","","TP Hong Kong Operations Limited",""
"51500000","51509999","8","","Mobile Service 流動服務","","** Spare - open for application 備用/供申請使用",""
"51510000","51519999","8","Y","Mobile Service 流動服務","","** Reserved 預留",""
"51520000","51599999","8","","Mobile Service 流動服務","","** Spare - open for application 備用/供申請使用",""
"51600000","51699999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"51700000","51799999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"51800000","51899999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"51900000","51999999","8","","Mobile Service 流動服務","","Hutchison Telephone Company Limited 和記電話有限公司",""
"52000000","52099999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"52100000","52199999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"52200000","52299999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"52300000","52339999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"52340000","52359999","8","","Mobile Service 流動服務","","** Spare - open for application 備用/供申請使用","Containing Ported Number 包含已轉攜號碼"
"52360000","52379999","8","","Mobile Service 流動服務","","SmarTone Mobile Communications Limited 數碼通電訊有限公司",""
"52380000","52399999","8","","Mobile Service 流動服務","","SmarTone Mobile Communications Limited 數碼通電訊有限公司",""
"52400000","52499999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"52500000","52519999","8","","Mobile Service 流動服務","","** Spare - open for application 備用/供申請使用",""
"52520000","52529999","8","Y","Mobile Service 流動服務","","** Reserved 預留",""
"52530000","52599999","8","","Mobile Service 流動服務","","** Spare - open for application 備用/供申請使用",""
"52600000","52699999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"52700000","52799999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"52800000","52809999","8","","Mobile Service 流動服務","","TP Hong Kong Operations Limited",""
"52810000","52829999","8","","Mobile Service 流動服務","","Sun Mobile Limited 新移動通訊有限公司",""
"52830000","52839999","8","","Mobile Service 流動服務","","Multibyte Info Technology Limited 博元訊息科技有限公司",""
"52840000","52859999","8","","Mobile Service 流動服務","","SmarTone Mobile Communications Limited 數碼通電訊有限公司",""
"52860000","52889999","8","","Mobile Service 流動服務","","SmarTone Mobile Communications Limited 數碼通電訊有限公司",""
"52890000","52898999","8","","Mobile Service 流動服務","","** Spare - open for application 備用/供申請使用",""
"52899000","52899999","8","","Mobile Service 流動服務","","HuiYinBi Telecom (Hong Kong) Limited 回音壁電信(香港)有限公司",""
"52900000","52999999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"53000000","53099999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"53100000","53199999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"53200000","53299999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"53300000","53399999","8","","Mobile Service 流動服務","","Hutchison Telephone Company Limited 和記電話有限公司",""
"53400000","53499999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"53500000","53529999","8","","Mobile Service 流動服務","","** Spare - open for application 備用/供申請使用",""
"53530000","53539999","8","Y","Mobile Service 流動服務","","** Reserved 預留",""
"53540000","53599999","8","","Mobile Service 流動服務","","** Spare - open for application 備用/供申請使用",""
"53600000","53699999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"53700000","53799999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"53800000","53899999","8","","Mobile Service 流動服務","","China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司",""
"53900000","53999999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"54000000","54099999","8","","Mobile Service 流動服務","","Sun Mobile Limited 新移動通訊有限公司",""
"54100000","54199999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"54200000","54299999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"54300000","54399999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"54400000","54499999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"54500000","54539999","8","","Mobile Service 流動服務","","** Spare 備用",""
"54540000","54549999","8","Y","Mobile Service 流動服務","","** Reserved 預留",""
"54550000","54599999","8","","Mobile Service 流動服務","","** Spare 備用",""
"54600000","54699999","8","","Mobile Service 流動服務","","Hutchison Telephone Company Limited 和記電話有限公司",""
"54700000","54799999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"54800000","54899999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"54900000","54999999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"55000000","55099999","8","","Mobile Service 流動服務","","SmarTone Mobile Communications Limited 數碼通電訊有限公司",""
"55100000","55199999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"55200000","55299999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"55300000","55399999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"55400000","55489999","8","","Mobile Service 流動服務","","Sun Mobile Limited 新移動通訊有限公司",""
"55490000","55519999","8","","Mobile Service 流動服務","","Government use",""
"55520000","55549999","8","","Mobile Service 流動服務","","** Spare 備用",""
"55550000","55559999","8","Y","Mobile Service 流動服務","","** Reserved 預留",""
"55560000","55599999","8","","Mobile Service 流動服務","","** Spare 備用",""
"55600000","55699999","8","","Mobile Service 流動服務","","Hutchison Telephone Company Limited 和記電話有限公司",""
"55700000","55799999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"55800000","55899999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"55900000","55999999","8","","Mobile Service 流動服務","","SmarTone Mobile Communications Limited 數碼通電訊有限公司",""
"56000000","56099999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"56100000","56199999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"56200000","56299999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"56300000","56399999","8","","Mobile Service 流動服務","","Hutchison Telephone Company Limited 和記電話有限公司",""
"56400000","56499999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"56500000","56559999","8","","Mobile Service 流動服務","","** Spare 備用",""
"56560000","56569999","8","Y","Mobile Service 流動服務","","** Reserved 預留",""
"56570000","56599999","8","","Mobile Service 流動服務","","** Spare 備用",""
"56600000","56699999","8","","Mobile Service 流動服務","","Hutchison Telephone Company Limited 和記電話有限公司",""
"56700000","56779999","8","","Mobile Service 流動服務","","** Spare 備用",""
"56780000","56789999","8","Y","Mobile Service 流動服務","","** Reserved 預留",""
"56790000","56799999","8","","Mobile Service 流動服務","","** Spare 備用",""
"56800000","56899999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"56900000","56999999","8","","Mobile Service 流動服務","","Hutchison Telephone Company Limited 和記電話有限公司",""
"57000000","57019999","8","","Mobile Service 流動服務","","Multibyte Info Technology Limited 博元訊息科技有限公司",""
"57020000","57039999","8","","Mobile Service 流動服務","","Sun Mobile Limited 新移動通訊有限公司",""
"57040000","57059999","8","","Mobile Service 流動服務","","Multibyte Info Technology Limited 博元訊息科技有限公司",""
"57060000","57069999","8","","Mobile Service 流動服務","","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"57070000","57089999","8","","Mobile Service 流動服務","","China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司",""
"57090000","57099999","8","","Mobile Service 流動服務","","CITIC Telecom International Limited 中信國際電訊有限公司",""
"57100000","57179999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"57180000","57199999","8","","Mobile Service 流動服務","","** Spare - open for application 備用/供申請使用","Containing Ported Number 包含已轉攜號碼"
"57200000","57299999","8","","Mobile Service 流動服務","","SmarTone Mobile Communications Limited 數碼通電訊有限公司",""
"57300000","57369999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"57370000","57399999","8","","Mobile Service 流動服務","","** Spare - open for application 備用/供申請使用",""
"57400000","57449999","8","","Mobile Service 流動服務","","SmarTone Mobile Communications Limited 數碼通電訊有限公司",""
"57450000","57469999","8","","Mobile Service 流動服務","","Multibyte Info Technology Limited 博元訊息科技有限公司",""
"57470000","57489999","8","","Mobile Service 流動服務","","Multibyte Info Technology Limited 博元訊息科技有限公司",""
"57490000","57499999","8","","Mobile Service 流動服務","","China Telecom Global Limited 中國電信國際有限公司",""
"57500000","57569999","8","","Mobile Service 流動服務","","** Spare 備用",""
"57570000","57579999","8","Y","Mobile Service 流動服務","","** Reserved 預留",""
"57580000","57599999","8","","Mobile Service 流動服務","","** Spare 備用",""
"57600000","57679999","8","","Mobile Service 流動服務","","China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司",""
"57680000","57699999","8","","Mobile Service 流動服務","","** Spare - open for application 備用/供申請使用","Containing Ported Number 包含已轉攜號碼"
"57700000","57799999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"57800000","57899999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"57900000","57999999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"58000000","58009999","8","","Fixed Services 固網服務","Class Two 第二類服務","** Spare - open for application 備用/供申請使用",""
"58010000","58019999","8","","Fixed Services 固網服務","Class Two 第二類服務","Deltapath Limited",""
"58020000","58022999","8","","Fixed Services 固網服務","Class Two 第二類服務","PowerTech Worldcom Limited 環宇網絡通訊有限公司",""
"58023000","58023999","8","","Fixed Services 固網服務","Class Two 第二類服務","** Spare - open for application 備用/供申請使用",""
"58024000","58025999","8","","Fixed Services 固網服務","Class Two 第二類服務","PowerTech Worldcom Limited 環宇網絡通訊有限公司",""
"58026000","58029999","8","","Fixed Services 固網服務","Class Two 第二類服務","** Spare - open for application 備用/供申請使用",""
"58030000","58039999","8","","Fixed Services 固網服務","Class Two 第二類服務","VOXBONE NV",""
"58040000","58040099","8","","Fixed Services 固網服務","Class Two 第二類服務","ZONE Limited",""
"58040100","58041999","8","","Fixed Services 固網服務","Class Two 第二類服務","** Spare - open for application 備用/供申請使用",""
"58042000","58044999","8","","Fixed Services 固網服務","Class Two 第二類服務","ZONE Limited",""
"58045000","58045999","8","","Fixed Services 固網服務","Class Two 第二類服務","** Spare - open for application 備用/供申請使用",""
"58046000","58046099","8","","Fixed Services 固網服務","Class Two 第二類服務","ZONE Limited",""
"58046100","58046999","8","","Fixed Services 固網服務","Class Two 第二類服務","** Spare - open for application 備用/供申請使用",""
"58047000","58048999","8","","Fixed Services 固網服務","Class Two 第二類服務","** Spare - open for application 備用/供申請使用",""
"58049000","58049399","8","","Fixed Services 固網服務","Class Two 第二類服務","ZONE Limited",""
"58049400","58049599","8","","Fixed Services 固網服務","Class Two 第二類服務","** Spare - open for application 備用/供申請使用",""
"58049600","58049999","8","","Fixed Services 固網服務","Class Two 第二類服務","ZONE Limited",""
"58050000","58059999","8","","Fixed Services 固網服務","Class Two 第二類服務","China Mobile International Limited 中國移動國際有限公司",""
"58060000","58069999","8","","Fixed Services 固網服務","Class Two 第二類服務","VOXBONE NV",""
"58070000","58079999","8","","Fixed Services 固網服務","Class Two 第二類服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"58080000","58089999","8","","Fixed Services 固網服務","Class Two 第二類服務","VOXBONE NV",""
"58090000","58099999","8","","Fixed Services 固網服務","Class Two 第二類服務","DIDWW HK Limited ",""
"58100000","58109999","8","","Fixed Services 固網服務","Class Two 第二類服務","** Spare - open for application 備用/供申請使用",""
"58110000","58119999","8","","Fixed Services 固網服務","Class Two 第二類服務","** Spare - open for application 備用/供申請使用",""
"58120000","58129999","8","","Fixed Services 固網服務","Class Two 第二類服務","** Spare - open for application 備用/供申請使用",""
"58130000","58139999","8","","Fixed Services 固網服務","Class Two 第二類服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"58140000","58149999","8","","Fixed Services 固網服務","Class Two 第二類服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"58150000","58159999","8","","Fixed Services 固網服務","Class Two 第二類服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"58160000","58169999","8","","Fixed Services 固網服務","Class Two 第二類服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"58170000","58179999","8","","Fixed Services 固網服務","Class Two 第二類服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"58180000","58189999","8","","Fixed Services 固網服務","Class Two 第二類服務","China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司",""
"58190000","58199999","8","","Fixed Services 固網服務","Class Two 第二類服務","VOXBONE NV",""
"58200000","58299999","8","","Fixed Services 固網服務","Class Two 第二類服務","** Spare 備用",""
"58300000","58399999","8","","Fixed Services 固網服務","Class Two 第二類服務","** Spare 備用",""
"58400000","58499999","8","","Fixed Services 固網服務","Class Two 第二類服務","** Spare 備用",""
"58500000","58579999","8","","Fixed Services 固網服務","Class Two 第二類服務","** Spare 備用",""
"58580000","58589999","8","Y","Fixed Services 固網服務","Class Two 第二類服務","** Reserved 預留",""
"58590000","58599999","8","","Fixed Services 固網服務","Class Two 第二類服務","** Spare 備用",""
"58600000","58699999","8","","Fixed Services 固網服務","Class Two 第二類服務","** Spare 備用",""
"58700000","58799999","8","","Fixed Services 固網服務","Class Two 第二類服務","** Spare 備用",""
"58800000","58899999","8","","Fixed Services 固網服務","Class Two 第二類服務","** Spare 備用",""
"58900000","58999999","8","","Fixed Services 固網服務","Class Two 第二類服務","** Spare 備用",""
"59000000","59059999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"59060000","59099999","8","","Mobile Service 流動服務","","** Spare - open for application 備用/供申請使用","Containing Ported Number 包含已轉攜號碼"
"59100000","59199999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"59200000","59299999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"59300000","59399999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"59400000","59499999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"59500000","59589999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"59590000","59599999","8","Y","Mobile Service 流動服務","","** Reserved 預留",""
"59600000","59699999","8","","Mobile Service 流動服務","","Hutchison Telephone Company Limited 和記電話有限公司",""
"59700000","59799999","8","","Mobile Service 流動服務","","Hutchison Telephone Company Limited 和記電話有限公司",""
"59800000","59899999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"59900000","59999999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"600","600","N/A","","Others 其他","Special Services 特別服務","** Reserved 預留",""
"60100000","60199999","8","","Mobile Service 流動服務","","SmarTone Mobile Communications Limited 數碼通電訊有限公司",""
"60200000","60299999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"60300000","60399999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"60400000","60499999","8","","Mobile Service 流動服務","","Hutchison Telephone Company Limited 和記電話有限公司",""
"60500000","60599999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"60600000","60699999","8","Y","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"60700000","60799999","8","","Mobile Service 流動服務","","Hutchison Telephone Company Limited 和記電話有限公司",""
"60800000","60899999","8","","Mobile Service 流動服務","","Hutchison Telephone Company Limited 和記電話有限公司",""
"60900000","60999999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"61000000","61099999","8","","Mobile Service 流動服務","","Hutchison Telephone Company Limited 和記電話有限公司",""
"61100000","61199999","8","","Mobile Service 流動服務","","SmarTone Mobile Communications Limited 數碼通電訊有限公司",""
"61200000","61299999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"61300000","61399999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"61400000","61499999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"61500000","61599999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"61600000","61699999","8","Y","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"61700000","61799999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"61800000","61899999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"61900000","61999999","8","","Mobile Service 流動服務","","Hutchison Telephone Company Limited 和記電話有限公司",""
"62000000","62099999","8","","Mobile Service 流動服務","","Hutchison Telephone Company Limited 和記電話有限公司",""
"62100000","62199999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"62200000","62299999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"62300000","62399999","8","","Mobile Service 流動服務","","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"62400000","62499999","8","","Mobile Service 流動服務","","** Spare - open for application 備用/供申請使用","Containing Ported Number 包含已轉攜號碼"
"62500000","62599999","8","","Mobile Service 流動服務","","Hong Kong Telecommunications (HKT) Limited",""
"62600000","62609999","8","","Mobile Service 流動服務","","** Spare - open for application 備用/供申請使用",""
